sembrada,cosechada,siniestrada,volumenproduccion,latitud,longitud,altitud,cicloproductivo_Otoño-Invierno,cicloproductivo_Perennes,cicloproductivo_Primavera-Verano,modalidad_Riego,modalidad_Temporal,cultivo_Avena forrajera en verde,cultivo_Frijol,cultivo_Maíz grano,cultivo_Pastos y praderas,cultivo_Tomate rojo (jitomate),K=8 Cluster Labels,rendimiento,estado
69.0,69.0,0.0,12916.8,18.555069,-97.561498,1809.0,0,0,1,1,0,0,0,0,0,1,4,187.2,Puebla
12065.0,12065.0,0.0,22523.0,18.617842,-100.207831,1827.0,0,0,1,0,1,0,0,1,0,0,2,1.87,México
8550.0,8512.0,38.0,24174.08,18.448668,-95.212571,299.0,1,0,0,0,1,0,0,1,0,0,3,2.84,Veracruz
2205.0,2205.0,0.0,24422.3,24.808808,-107.393756,57.0,1,0,0,1,0,0,0,1,0,0,7,11.08,Sinaloa
10835.5,10835.5,0.0,6797.02,23.848172,-104.244767,1730.0,0,0,1,0,1,0,1,0,0,0,1,0.63,Durango
2445.0,2445.0,0.0,4816.85,25.481877,-107.921562,90.0,1,0,0,1,0,0,1,0,0,0,7,1.97,Sinaloa
5061.7,5061.7,0.0,5465.42,21.541738,-105.286046,15.0,1,0,0,0,1,0,1,0,0,0,3,1.08,Nayarit
5395.0,5395.0,0.0,23960.15,19.261132,-98.895655,2237.0,0,0,1,0,1,0,0,1,0,0,2,4.44,México
5659.0,5659.0,0.0,23335.0,19.252377,-100.019982,2327.0,0,0,1,0,1,0,0,1,0,0,2,4.12,México
4320.0,4320.0,0.0,24591.6,19.369293,-99.758552,2612.0,0,0,1,1,0,0,0,1,0,0,2,5.69,México
3650.0,3650.0,0.0,25185.0,19.795666,-101.176392,1864.0,0,0,1,1,0,0,0,1,0,0,2,6.9,Michoacán
2650.0,2650.0,0.0,20802.5,27.496489,-109.932716,36.0,1,0,0,1,0,0,0,1,0,0,7,7.85,Sonora
6810.0,6810.0,0.0,21111.0,17.894277,-94.815294,40.0,1,0,0,0,1,0,0,1,0,0,3,3.1,Veracruz
2900.0,2900.0,0.0,21750.0,20.149654,-101.708311,1702.0,0,0,1,1,0,0,0,1,0,0,2,7.5,Michoacán
2820.0,2760.0,60.0,23925.0,21.018681,-101.858518,1752.0,0,0,1,1,0,0,0,1,0,0,2,8.67,Guanajuato
